League,Team,GP,Pts,PPG_Last_8,PPG_All
Argentina - Liga Profesional,Rosario Central,16,35,2.25,2.19
Argentina - Liga Profesional,Argentinos Jrs,16,33,1.88,2.06
Argentina - Liga Profesional,Boca Juniors,16,33,2.0,2.06
Argentina - Liga Profesional,River Plate,16,31,2.0,1.94
Argentina - Liga Profesional,Independiente,16,29,1.5,1.81
Argentina - Liga Profesional,Racing Club,16,28,2.38,1.75
Argentina - Liga Profesional,Huracan,16,27,1.5,1.69
Argentina - Liga Profesional,Tigre,16,27,1.13,1.69
Argentina - Liga Profesional,San Lorenzo,16,27,1.25,1.69
Argentina - Liga Profesional,I. Rivadavia,16,27,2.13,1.69
Argentina - Liga Profesional,Barracas C.,16,26,1.75,1.63
Argentina - Liga Profesional,D. Riestra,16,24,1.63,1.5
Argentina - Liga Profesional,Platense,16,23,1.75,1.44
Argentina - Liga Profesional,Estudiantes,16,21,0.38,1.31
Argentina - Liga Profesional,Lanus,16,20,1.38,1.25
Argentina - Liga Profesional,Newells,16,19,1.63,1.19
Argentina - Liga Profesional,Defensa y J.,16,19,0.63,1.19
Argentina - Liga Profesional,Central Cordoba,16,18,0.5,1.13
Argentina - Liga Profesional,Instituto,16,18,1.38,1.13
Argentina - Liga Profesional,Belgrano,16,17,1.13,1.06
Argentina - Liga Profesional,A. Tucuman,16,16,1.13,1.0
Argentina - Liga Profesional,Gimnasia,16,16,0.75,1.0
Argentina - Liga Profesional,Sarmiento,16,15,1.13,0.94
Argentina - Liga Profesional,Aldosivi,16,15,1.63,0.94
Argentina - Liga Profesional,Banfield,16,14,0.75,0.88
Argentina - Liga Profesional,Union Santa Fe,16,14,1.13,0.88
Argentina - Liga Profesional,Godoy Cruz,16,14,0.88,1.06
Argentina - Liga Profesional,Velez Sarsfield,16,14,1.5,0.88
Argentina - Liga Profesional,T. de Cordoba,16,13,0.88,0.81
Argentina - Liga Profesional,SM San Juan,16,9,0.38,0.56
Argentina - Primera B,Midland,13,24,2.0,1.85
Argentina - Primera B,Real Pilar,13,23,1.63,1.77
Argentina - Primera B,V. San Carlos,14,23,1.25,1.64
Argentina - Primera B,Liniers,13,21,1.75,1.62
Argentina - Primera B,Dock Sud,14,21,1.25,1.5
Argentina - Primera B,Excursionistas,14,20,1.75,1.43
Argentina - Primera B,Argentino Merlo,14,20,2.13,1.43
Argentina - Primera B,Acassuso,13,19,1.38,1.46
Argentina - Primera B,A. Quilmes,14,19,1.25,1.36
Argentina - Primera B,Villa Dalmine,14,19,1.5,1.36
Argentina - Primera B,Deportivo Merlo,14,19,1.63,1.36
Argentina - Primera B,Brown de A.,13,19,1.13,1.46
Argentina - Primera B,SM Burzaco,13,19,1.63,1.46
Argentina - Primera B,Comunicaciones,13,18,1.13,1.38
Argentina - Primera B,Flandria,13,15,1.38,1.15
Argentina - Primera B,D. Armenio,14,15,0.88,1.07
Argentina - Primera B,D. Laferrere,13,13,1.38,1.0
Argentina - Primera B,UAI Urquiza,13,13,1.0,1.0
Argentina - Primera B,Sacachispas,14,11,0.88,0.79
Argentina - Primera B,S. Italiano,13,10,0.75,0.77
Argentina - Primera B,Fenix,13,8,0.5,0.62
Armenia - Premier League,Noah,27,71,2.75,2.63
Armenia - Premier League,Ararat-Armenia,26,57,2.75,2.19
Armenia - Premier League,Urartu,26,55,2.13,2.12
Armenia - Premier League,Pyunik,28,50,1.25,1.79
Armenia - Premier League,Van,27,43,1.5,1.59
Armenia - Premier League,BKMA,26,32,1.5,1.23
Armenia - Premier League,Ararat Yerevan,26,29,1.38,1.12
Armenia - Premier League,Shirak,27,29,0.5,1.07
Armenia - Premier League,West Armenia,26,23,0.75,0.88
Armenia - Premier League,Alashkert,26,20,0.88,0.77
Armenia - Premier League,Gandzasar,25,3,0.13,0.12
Australia - A-League,Auckland,26,53,1.63,2.04
Australia - A-League,Melbourne City,26,48,2.13,1.85
Australia - A-League,Western United,26,47,2.25,1.81
Australia - A-League,WS Wanderers,26,46,2.25,1.77
Australia - A-League,Melbourne V.,26,43,1.75,1.65
Australia - A-League,Adelaide Utd,26,38,0.75,1.46
Australia - A-League,Sydney FC,26,37,1.38,1.42
Australia - A-League,Macarthur FC,26,33,1.0,1.27
Australia - A-League,Newcastle Jets,26,30,1.0,1.15
Australia - A-League,Central Coast,26,26,0.63,1.0
Australia - A-League,Wellington,26,24,0.63,0.92
Australia - A-League,Brisbane Roar,26,21,1.63,0.81
Australia - A-League,Perth Glory,26,17,0.88,0.65
Austria - Bundesliga,Sturm Graz,22,46,1.75,2.09
Austria - Bundesliga,Austria Wien,22,46,2.38,2.09
Austria - Bundesliga,Salzburg,22,38,2.0,1.73
Austria - Bundesliga,Wolfsberger AC,22,36,2.0,1.64
Austria - Bundesliga,Rapid Wien,22,34,0.88,1.55
Austria - Bundesliga,BW Linz,22,33,2.0,1.5
Austria - Bundesliga,LASK Linz,22,31,1.38,1.41
Austria - Bundesliga,Hartberg,22,26,1.13,1.18
Austria - Bundesliga,A. Klagenfurt,22,21,0.75,0.95
Austria - Bundesliga,Tirol,22,19,0.75,0.86
Austria - Bundesliga,Altach,22,16,0.88,0.73
Austria - Bundesliga,Grazer AK,22,16,0.5,0.73
Austria - 2. Liga,Admira Wacker,28,59,1.38,2.11
Austria - 2. Liga,Ried,27,58,2.13,2.15
Austria - 2. Liga,St. Polten,28,49,2.0,1.75
Austria - 2. Liga,First Vienna,28,48,1.63,1.71
Austria - 2. Liga,Kapfenberger,27,48,2.63,1.78
Austria - 2. Liga,Liefering,28,40,1.88,1.43
Austria - 2. Liga,Sturm Graz B,27,38,1.25,1.41
Austria - 2. Liga,Bregenz,28,38,0.38,1.36
Austria - 2. Liga,Rapid Wien B,28,37,0.88,1.32
Austria - 2. Liga,Floridsdorfer,28,35,1.75,1.25
Austria - 2. Liga,A. Lustenau,28,34,1.38,1.21
Austria - 2. Liga,Amstetten,27,33,0.75,1.22
Austria - 2. Liga,Voitsberg,28,31,1.0,1.11
Austria - 2. Liga,Stripfing,27,28,1.88,1.04
Austria - 2. Liga,SV Horn,28,24,1.38,0.86
Austria - 2. Liga,Lafnitz,27,15,0.5,0.56
Belgium - First Division A,KRC Genk,30,68,2.5,2.27
Belgium - First Division A,Club Brugge,30,59,1.5,1.97
Belgium - First Division A,Royale Union SG,30,55,2.25,1.83
Belgium - First Division A,Anderlecht,30,51,1.88,1.7
Belgium - First Division A,Antwerp,30,46,1.25,1.53
Belgium - First Division A,Gent,30,45,1.63,1.5
Belgium - First Division A,Standard Liege,30,39,1.0,1.3
Belgium - First Division A,KV Mechelen,30,38,1.38,1.27
Belgium - First Division A,OH Leuven,30,37,1.5,1.23
Belgium - First Division A,Charleroi,30,37,1.13,1.23
Belgium - First Division A,Westerlo,30,37,1.75,1.23
Belgium - First Division A,Cercle Brugge,30,32,0.63,1.07
Belgium - First Division A,Dender,30,32,0.5,1.07
Belgium - First Division A,Sint-Truiden,30,31,1.13,1.03
Belgium - First Division A,Kortrijk,30,26,1.0,0.87
Belgium - First Division A,Beerschot,30,18,0.63,0.6
Belgium - First Division B,Zulte-Waregem,28,59,1.63,2.11
Belgium - First Division B,La Louviere,28,59,2.5,2.11
Belgium - First Division B,RWDM,28,57,2.0,2.04
Belgium - First Division B,Beveren,28,51,2.38,1.82
Belgium - First Division B,Patro Eisden,28,49,1.5,1.75
Belgium - First Division B,Club Brugge B,28,47,1.63,1.68
Belgium - First Division B,Lokeren-Temse,28,41,2.63,1.46
Belgium - First Division B,Lierse K.,28,40,1.25,1.43
Belgium - First Division B,RFC Liege,28,34,1.38,1.21
Belgium - First Division B,Eupen,28,30,1.38,1.07
Belgium - First Division B,Lommel SK,28,29,1.25,1.04
Belgium - First Division B,Francs Borains,28,28,0.75,1.0
Belgium - First Division B,Anderlecht B,28,23,0.25,0.82
Belgium - First Division B,Seraing,28,19,0.38,0.68
Belgium - First Division B,KRC Genk B,28,14,0.13,0.5
Belgium - First Division B,Deinze,0,0,0.0,0.0
Brazil - Serie A,Palmeiras,7,16,2.29,2.29
Brazil - Serie A,Bragantino,7,16,2.29,2.29
Brazil - Serie A,Flamengo,7,14,2.0,2.0
Brazil - Serie A,Cruzeiro,7,13,1.86,1.86
Brazil - Serie A,Fluminense,7,13,1.86,1.86
Brazil - Serie A,Bahia,7,12,1.71,1.71
Brazil - Serie A,Ceara,7,11,1.57,1.57
Brazil - Serie A,Corinthians,7,10,1.43,1.43
Brazil - Serie A,Internacional,7,9,1.29,1.29
Brazil - Serie A,Sao Paulo,7,9,1.29,1.29
Brazil - Serie A,Atletico MG,7,9,1.29,1.29
Brazil - Serie A,Botafogo,7,8,1.14,1.14
Brazil - Serie A,Gremio,7,8,1.14,1.14
Brazil - Serie A,Mirassol,7,7,1.0,1.0
Brazil - Serie A,Fortaleza,7,7,1.0,1.0
Brazil - Serie A,Vasco da Gama,7,7,1.0,1.0
Brazil - Serie A,Juventude,7,7,1.0,1.0
Brazil - Serie A,Vitoria,7,6,0.86,0.86
Brazil - Serie A,Santos,7,4,0.57,0.57
Brazil - Serie A,Sport Recife,7,2,0.29,0.29
Brazil - Serie B,Vila Nova,6,13,2.17,2.17
Brazil - Serie B,Goias,6,13,2.17,2.17
Brazil - Serie B,Remo,6,12,2.0,2.0
Brazil - Serie B,Cuiaba,6,12,2.0,2.0
Brazil - Serie B,Avai,6,11,1.83,1.83
Brazil - Serie B,CRB,6,11,1.83,1.83
Brazil - Serie B,Coritiba,6,10,1.67,1.67
Brazil - Serie B,Chapecoense,7,10,1.43,1.43
Brazil - Serie B,Athletico PR,7,10,1.43,1.43
Brazil - Serie B,Ferroviaria,6,9,1.5,1.5
Brazil - Serie B,Atletico GO,6,9,1.5,1.5
Brazil - Serie B,Novorizontino,6,9,1.5,1.5
Brazil - Serie B,America MG,6,9,1.5,1.5
Brazil - Serie B,Operario PR,6,7,1.17,1.17
Brazil - Serie B,Criciuma,6,5,0.83,0.83
Brazil - Serie B,Botafogo SP,6,5,0.83,0.83
Brazil - Serie B,Volta Redonda,6,4,0.67,0.67
Brazil - Serie B,Athletic Club,6,3,0.5,0.5
Brazil - Serie B,Paysandu,6,2,0.33,0.33
Brazil - Serie B,Amazonas,6,2,0.33,0.33
Brazil - Serie C,Ituano,4,10,2.5,2.5
Brazil - Serie C,Ponte Preta,4,10,2.5,2.5
Brazil - Serie C,Maringa,4,10,2.5,2.5
Brazil - Serie C,Caxias,4,9,2.25,2.25
Brazil - Serie C,Londrina,4,8,2.0,2.0
Brazil - Serie C,Brusque,4,8,2.0,2.0
Brazil - Serie C,Tombense,4,7,1.75,1.75
Brazil - Serie C,Ypiranga,4,6,1.5,1.5
Brazil - Serie C,Botafogo PB,4,5,1.25,1.25
Brazil - Serie C,CSA,4,5,1.25,1.25
Brazil - Serie C,Sao Bernardo,4,5,1.25,1.25
Brazil - Serie C,Retro,4,4,1.0,1.0
Brazil - Serie C,Floresta,4,4,1.0,1.0
Brazil - Serie C,Guarani,4,3,0.75,0.75
Brazil - Serie C,Itabaiana,4,3,0.75,0.75
Brazil - Serie C,Confianca,4,3,0.75,0.75
Brazil - Serie C,ABC,4,3,0.75,0.75
Brazil - Serie C,Nautico,4,2,0.5,0.5
Brazil - Serie C,Anapolis,4,2,0.5,0.5
Brazil - Serie C,Figueirense,4,1,0.25,0.25
Bulgaria - Parva Liga,Ludogorets,33,81,2.13,2.45
Bulgaria - Parva Liga,Levski Sofia,32,64,1.63,2.0
Bulgaria - Parva Liga,CSKA Sofia,33,56,2.38,1.7
Bulgaria - Parva Liga,Arda,33,56,1.88,1.7
Bulgaria - Parva Liga,Cherno More,32,54,1.0,1.69
Bulgaria - Parva Liga,Botev Plovdiv,33,53,1.38,1.61
Bulgaria - Parva Liga,Spartak Varna,32,48,1.5,1.5
Bulgaria - Parva Liga,Slavia Sofia,33,45,1.25,1.36
Bulgaria - Parva Liga,Beroe,32,43,0.75,1.34
Bulgaria - Parva Liga,Septemvri Sofia,33,39,1.13,1.18
Bulgaria - Parva Liga,CSKA 1948 Sofia,33,38,0.88,1.15
Bulgaria - Parva Liga,Lokomotiv Sofia,33,37,1.75,1.12
Bulgaria - Parva Liga,L. Krumovgrad,33,33,1.13,1.0
Bulgaria - Parva Liga,Lok. Plovdiv,33,32,1.0,0.97
Bulgaria - Parva Liga,Botev Vratsa,33,27,1.63,0.82
Bulgaria - Parva Liga,Hebar,33,18,0.63,0.55
Canada - Premier League,A. Ottawa,5,13,2.6,2.6
Canada - Premier League,HFX Wanderers,5,11,2.2,2.2
Canada - Premier League,Forge,5,9,1.8,1.8
Canada - Premier League,Vancouver FC,5,5,1.0,1.0
Canada - Premier League,York Utd,5,4,0.8,0.8
Canada - Premier League,Cavalry,4,4,1.0,1.0
Canada - Premier League,Pacific,5,4,0.8,0.8
Canada - Premier League,Valour,4,1,0.25,0.25
China - Super League,S. Shenhua,11,26,2.38,2.36
China - Super League,Chengdu,11,26,2.75,2.36
China - Super League,Shanghai Port,11,23,2.0,2.09
China - Super League,Beijing Guoan,10,22,2.25,2.2
China - Super League,Shandong T.,11,17,1.25,1.55
China - Super League,Qingdao West C.,10,16,1.5,1.6
China - Super League,Tianjin T.,11,16,1.13,1.45
China - Super League,Zhejiang,11,15,1.25,1.36
China - Super League,Dalian Yingbo,11,13,1.13,1.18
China - Super League,Meizhou Hakka,11,12,1.0,1.09
China - Super League,Yunnan Yukun,11,12,1.0,1.09
China - Super League,Wuhan Three T.,11,11,1.38,1.0
China - Super League,Sichuan Jiuniu,11,11,1.0,1.0
China - Super League,Henan SL,10,7,0.75,0.7
China - Super League,Qingdao Hainiu,12,7,0.63,0.58
China - Super League,Changchun Yatai,11,5,0.63,0.45
China - League One,Chongqing T.,7,19,2.71,2.71
China - League One,Liaoning Tieren,7,18,2.57,2.57
China - League One,Guangdong GZP,7,16,2.29,2.29
China - League One,S. Gongfu,7,14,2.0,2.0
China - League One,Suzhou Dongwu,7,13,1.86,1.86
China - League One,Shanghai Jiadin,8,11,1.38,1.38
China - League One,Dalian Kuncheng,7,9,1.29,1.29
China - League One,Shenzhen J.,7,9,1.29,1.29
China - League One,Nantong Zhiyun,7,8,1.14,1.14
China - League One,Yanbian Longdin,7,8,1.14,1.14
China - League One,Heilongjiang IC,8,7,0.88,0.88
China - League One,Nanjing City,7,6,0.86,0.86
China - League One,Shaanxi Union,7,5,0.71,0.71
China - League One,Foshan Nanshi,7,5,0.71,0.71
China - League One,Qingdao RL,7,4,0.57,0.57
China - League One,Guangxi Baoyun,7,2,0.29,0.29
Colombia - Primera A - Apertura,America de Cali,18,33,1.5,1.83
Colombia - Primera A - Apertura,A. Nacional,17,32,1.5,1.88
Colombia - Primera A - Apertura,Millonarios,17,31,1.88,1.82
Colombia - Primera A - Apertura,Junior,17,31,1.88,1.82
Colombia - Primera A - Apertura,Deportes Tolima,17,30,2.13,1.76
Colombia - Primera A - Apertura,I. Medelin,17,29,1.25,1.71
Colombia - Primera A - Apertura,Santa Fe,17,27,1.38,1.59
Colombia - Primera A - Apertura,Once Caldas,16,26,1.75,1.63
Colombia - Primera A - Apertura,Deportivo Pasto,17,26,1.25,1.53
Colombia - Primera A - Apertura,Deportivo Cali,17,24,1.25,1.41
Colombia - Primera A - Apertura,A. Bucaramanga,18,23,1.63,1.28
Colombia - Primera A - Apertura,A. Petrolera,17,23,1.38,1.35
Colombia - Primera A - Apertura,D. Pereira,17,22,1.38,1.29
Colombia - Primera A - Apertura,Envigado,17,18,1.25,1.06
Colombia - Primera A - Apertura,Llaneros,17,17,1.13,1.0
Colombia - Primera A - Apertura,Fortaleza CEIF,17,17,1.0,1.0
Colombia - Primera A - Apertura,Boyaca Chico,18,17,0.75,0.94
Colombia - Primera A - Apertura,R. Aguilas,17,12,0.63,0.71
Colombia - Primera A - Apertura,La Equidad,17,10,0.88,0.59
Colombia - Primera A - Apertura,Union Magdalena,17,8,0.38,0.47
Colombia - Primera B - Apertura,Cucuta,14,32,2.63,2.29
Colombia - Primera B - Apertura,Patriotas,14,30,2.0,2.14
Colombia - Primera B - Apertura,Jaguares de C.,14,28,2.13,2.0
Colombia - Primera B - Apertura,Atletico Huila,14,28,2.25,2.0
Colombia - Primera B - Apertura,R. Cundinamarca,14,26,1.75,1.86
Colombia - Primera B - Apertura,Inter Palmira,14,26,1.25,1.86
Colombia - Primera B - Apertura,Real Cartagena,14,24,1.38,1.71
Colombia - Primera B - Apertura,Tigres,14,20,1.75,1.43
Colombia - Primera B - Apertura,Real Santander,14,17,1.38,1.21
Colombia - Primera B - Apertura,Orsomarso,14,14,0.88,1.0
Colombia - Primera B - Apertura,Leones,14,14,0.75,1.0
Colombia - Primera B - Apertura,D. Quindio,14,13,0.88,0.93
Colombia - Primera B - Apertura,Bogota,14,13,1.0,0.93
Colombia - Primera B - Apertura,Barranquilla,14,9,0.75,0.64
Colombia - Primera B - Apertura,Atletico Cali,14,8,0.88,0.57
Colombia - Primera B - Apertura,Boca Juniors,14,7,0.38,0.5
Costa Rica - Primera Div. - Apertura,Alajuelense,22,46,2.0,2.09
Costa Rica - Primera Div. - Apertura,Saprissa,22,41,2.13,1.86
Costa Rica - Primera Div. - Apertura,San Carlos,22,39,1.38,1.77
Costa Rica - Primera Div. - Apertura,Herediano,22,35,1.5,1.59
Costa Rica - Primera Div. - Apertura,Guanacasteca,22,35,1.63,1.59
Costa Rica - Primera Div. - Apertura,Cartagines,22,34,1.25,1.55
Costa Rica - Primera Div. - Apertura,Sporting SJ,22,27,0.88,1.23
Costa Rica - Primera Div. - Apertura,M. Liberia,22,26,1.0,1.18
Costa Rica - Primera Div. - Apertura,Zeledon,22,22,1.25,1.0
Costa Rica - Primera Div. - Apertura,Santos Guapiles,22,21,2.0,0.95
Costa Rica - Primera Div. - Apertura,Santa Ana,22,20,0.88,0.91
Costa Rica - Primera Div. - Apertura,Puntarenas,22,15,0.88,0.68
Costa Rica - Primera Div. - Clausura,Herediano,21,43,1.88,2.05
Costa Rica - Primera Div. - Clausura,Alajuelense,22,42,2.0,1.91
Costa Rica - Primera Div. - Clausura,Puntarenas,22,41,1.13,1.86
Costa Rica - Primera Div. - Clausura,Saprissa,22,39,2.5,1.77
Costa Rica - Primera Div. - Clausura,Cartagines,22,38,2.13,1.73
Costa Rica - Primera Div. - Clausura,Sporting SJ,22,31,2.13,1.41
Costa Rica - Primera Div. - Clausura,M. Liberia,22,24,1.25,1.09
Costa Rica - Primera Div. - Clausura,Santos Guapiles,21,24,1.0,1.14
Costa Rica - Primera Div. - Clausura,Zeledon,22,23,0.88,1.05
Costa Rica - Primera Div. - Clausura,San Carlos,21,16,1.0,0.76
Costa Rica - Primera Div. - Clausura,Guanacasteca,21,16,0.38,0.76
Costa Rica - Primera Div. - Clausura,Santa Ana,22,14,0.38,0.64
Croatia - 1. NL,Vukovar,29,62,2.75,2.14
Croatia - 1. NL,Opatija,29,59,2.38,2.03
Croatia - 1. NL,Orijent,29,48,2.13,1.66
Croatia - 1. NL,Sesvete,30,46,1.13,1.53
Croatia - 1. NL,Dubrava Zagreb,29,45,1.5,1.55
